time,acc_theta1,acc_theta2,acc_d3,acc_theta4
60.525,1.43961,-35.0631,12.7155,-33.6235
60.536,1.41115,-34.792,12.631,-33.3808
60.547,1.3827,-34.5209,12.5466,-33.1382
60.557,1.35683,-34.2744,12.4698,-32.9176
60.568,1.32837,-34.0033,12.3853,-32.675
60.578,1.3025,-33.7569,12.3085,-32.4544
60.589,1.27405,-33.4858,12.224,-32.2117
60.6,1.24559,-33.2147,12.1395,-31.9691
60.611,1.21714,-32.9436,12.055,-31.7265
60.621,1.19127,-32.6972,11.9782,-31.5059
60.632,1.16281,-32.4261,11.8938,-31.2632
60.642,1.13694,-32.1796,11.817,-31.0427
60.653,1.10849,-31.9085,11.7325,-30.8
60.664,1.08003,-31.6374,11.648,-30.5574
60.675,1.05158,-31.3663,11.5635,-30.3147
60.685,1.02571,-31.1199,11.4867,-30.0942
60.696,0.997251,-30.8488,11.4022,-29.8515
60.706,0.971382,-30.6023,11.3254,-29.6309
60.717,0.942926,-30.3312,11.241,-29.3883
60.728,0.91447,-30.0601,11.1565,-29.1457
60.739,0.886014,-29.789,11.072,-28.903
60.749,0.860145,-29.5426,10.9952,-28.6825
60.76,0.831689,-29.2715,10.9107,-28.4398
60.77,0.80582,-29.0251,10.8339,-28.2192
60.781,0.777364,-28.754,10.7494,-27.9766
60.792,0.748909,-28.4829,10.665,-27.734
60.803,0.720453,-28.2118,10.5805,-27.4913
60.813,0.694584,-27.9653,10.5037,-27.2707
60.824,0.666128,-27.6942,10.4192,-27.0281
60.834,0.640259,-27.4478,10.3424,-26.8075
60.845,0.611803,-27.1767,10.2579,-26.5649
60.856,0.583347,-26.9056,10.1734,-26.3222
60.867,0.554891,-26.6345,10.089,-26.0796
60.877,0.529022,-26.388,10.0122,-25.859
60.888,0.500566,-26.117,9.92768,-25.6164
60.898,0.474697,-25.8705,9.85088,-25.3958
60.909,0.446241,-25.5994,9.7664,-25.1532
60.92,0.417786,-25.3283,9.68192,-24.9105
60.931,0.38933,-25.0572,9.59744,-24.6679
60.941,0.363461,-24.8108,9.52064,-24.4473
60.952,0.335005,-24.5397,9.43616,-24.2047
60.962,0.309136,-24.2932,9.35936,-23.9841
60.973,0.28068,-24.0221,9.27488,-23.7415
60.984,0.252224,-23.751,9.1904,-23.4988
60.995,0.223768,-23.4799,9.10592,-23.2562
61.005,0.197899,-23.2335,9.02912,-23.0356
61.016,0.169443,-22.9624,8.94464,-22.793
61.026,0.143574,-22.716,8.86784,-22.5724
61.037,0.115119,-22.4449,8.78336,-22.3297
61.048,0.0866627,-22.1738,8.69888,-22.0871
61.059,0.0582068,-21.9027,8.6144,-21.8445
61.069,0.0323378,-21.6562,8.5376,-21.6239
61.08,0.00388193,-21.3851,8.45312,-21.3812
61.09,-0.021987,-21.1387,8.37632,-21.1607
61.101,-0.0504429,-20.8676,8.29184,-20.918
61.112,-0.0788988,-20.5965,8.20736,-20.6754
61.123,-0.107355,-20.3254,8.12288,-20.4327
61.133,-0.133224,-20.0789,8.04608,-20.2122
61.144,-0.16168,-19.8079,7.9616,-19.9695
61.154,-0.187549,-19.5614,7.8848,-19.749
61.165,-0.216004,-19.2903,7.80032,-19.5063
61.176,-0.24446,-19.0192,7.71584,-19.2637
61.187,-0.272916,-18.7481,7.63136,-19.021
61.197,-0.298785,-18.5017,7.55456,-18.8005
61.208,-0.327241,-18.2306,7.47008,-18.5578
61.218,-0.35311,-17.9841,7.39328,-18.3372
61.229,-0.381566,-17.713,7.3088,-18.0946
61.24,-0.410022,-17.4419,7.22432,-17.852
61.251,-0.438478,-17.1708,7.13984,-17.6093
61.261,-0.464347,-16.9244,7.06304,-17.3887
61.272,-0.492802,-16.6533,6.97856,-17.1461
61.283,-0.521258,-16.3822,6.89408,-16.9035
61.294,-0.549714,-16.1111,6.8096,-16.6608
61.304,-0.575583,-15.8647,6.7328,-16.4402
61.315,-0.604039,-15.5936,6.64832,-16.1976
61.325,-0.629908,-15.3471,6.57152,-15.977
61.336,-0.658364,-15.076,6.48704,-15.7344
61.347,-0.68682,-14.8049,6.40256,-15.4917
61.358,-0.715276,-14.5338,6.31808,-15.2491
61.368,-0.741145,-14.2874,6.24128,-15.0285
61.379,-0.769601,-14.0163,6.1568,-14.7859
61.389,-0.79547,-13.7698,6.08,-14.5653
61.4,-0.823925,-13.4987,5.99552,-14.3227
61.411,-0.852381,-13.2277,5.91104,-14.08
61.422,-0.880837,-12.9566,5.82656,-13.8374
61.432,-0.906706,-12.7101,5.74976,-13.6168
61.443,-0.935162,-12.439,5.66528,-13.3742
61.453,-0.961031,-12.1926,5.58848,-13.1536
61.464,-0.989487,-11.9215,5.504,-12.911
61.475,-1.01794,-11.6504,5.41952,-12.6683
61.486,-1.0464,-11.3793,5.33504,-12.4257
61.496,-1.07227,-11.1328,5.25824,-12.2051
61.507,-1.10072,-10.8617,5.17376,-11.9625
61.517,-1.12659,-10.6153,5.09696,-11.7419
61.528,-1.15505,-10.3442,5.01248,-11.4992
61.539,-1.1835,-10.0731,4.928,-11.2566
61.55,-1.21196,-9.80201,4.84352,-11.014
61.56,-1.23783,-9.55556,4.76672,-10.7934
61.571,-1.26628,-9.28447,4.68224,-10.5508
61.581,-1.29215,-9.03802,4.60544,-10.3302
61.592,-1.32061,-8.76692,4.52096,-10.0875
61.603,-1.34907,-8.49583,4.43648,-9.84489
61.614,-1.37752,-8.22473,4.352,-9.60225
61.624,-1.40339,-7.97828,4.2752,-9.38167
61.635,-1.43185,-7.70719,4.19072,-9.13904
61.645,-1.45772,-7.46074,4.11392,-8.91846
61.656,-1.48617,-7.18965,4.02944,-8.67582
61.667,-1.51463,-6.91855,3.94496,-8.43318
61.678,-1.54308,-6.64746,3.86048,-8.19054
61.688,-1.56895,-6.40101,3.78368,-7.96996
61.699,-1.59741,-6.12991,3.6992,-7.72732
61.709,-1.62328,-5.88346,3.6224,-7.50674
61.72,-1.65173,-5.61237,3.53792,-7.2641
61.731,-1.68019,-5.34128,3.45344,-7.02146
61.742,-1.70864,-5.07018,3.36896,-6.77883
61.752,-1.73451,-4.82373,3.29216,-6.55825
61.763,-1.76297,-4.55264,3.20768,-6.31561
61.773,-1.78884,-4.30619,3.13088,-6.09503
61.784,-1.81729,-4.03509,3.0464,-5.85239
61.795,-1.84575,-3.764,2.96192,-5.60975
61.806,-1.87421,-3.49291,2.87744,-5.36711
61.816,-1.90007,-3.24646,2.80064,-5.14653
61.827,-1.92853,-2.97536,2.71616,-4.90389
61.837,-1.9544,-2.72891,2.63936,-4.68331
61.848,-1.98286,-2.45782,2.55488,-4.44067
61.859,-2.01131,-2.18672,2.4704,-4.19804
61.87,-2.03977,-1.91563,2.38592,-3.9554
61.88,-2.06564,-1.66918,2.30912,-3.73482
61.891,-2.09409,-1.39809,2.22464,-3.49218
61.901,-2.11996,-1.15164,2.14784,-3.2716
61.912,-2.14842,-0.880544,2.06336,-3.02896
61.923,-2.17687,-0.609449,1.97888,-2.78632
61.934,-2.20533,-0.338355,1.8944,-2.54368
61.944,-2.2312,-0.0919057,1.8176,-2.3231
61.955,-2.25965,0.179189,1.73312,-2.08047
61.965,-2.28552,0.425638,1.65632,-1.85988
61.976,-2.31398,0.696732,1.57184,-1.61725
61.987,-2.34243,0.967826,1.48736,-1.37461
61.998,-2.37089,1.23892,1.40288,-1.13197
62.008,-2.39676,1.48537,1.32608,-0.911389
62.019,-2.42522,1.75646,1.2416,-0.668751
62.029,-2.45108,2.00291,1.1648,-0.448171
62.04,-2.47954,2.27401,1.08032,-0.205532
62.051,-2.508,2.5451,0.99584,0.0371061
62.062,-2.53645,2.8162,0.91136,0.279744
62.072,-2.56232,3.06265,0.83456,0.500325
62.083,-2.59078,3.33374,0.75008,0.742963
62.093,-2.61665,3.58019,0.67328,0.963544
62.104,-2.6451,3.85128,0.5888,1.20618
62.115,-2.67356,4.12238,0.50432,1.44882
62.126,-2.70201,4.39347,0.41984,1.69146
62.136,-2.72788,4.63992,0.34304,1.91204
62.147,-2.75634,4.91102,0.25856,2.15468
62.158,-2.78479,5.18211,0.17408,2.39732
62.169,-2.81325,5.4532,0.0896,2.63995
62.179,-2.83912,5.69965,0.0128,2.86053
62.19,-2.86757,5.97075,-0.07168,3.10317
62.2,-2.89344,6.2172,-0.14848,3.32375
62.211,-2.9219,6.48829,-0.23296,3.56639
62.222,-2.95036,6.75939,-0.31744,3.80903
62.233,-2.97881,7.03048,-0.40192,4.05167
62.243,-3.00468,7.27693,-0.47872,4.27225
62.254,-3.03314,7.54802,-0.5632,4.51489
62.264,-3.05901,7.79447,-0.64,4.73547
62.275,-3.08746,8.06557,-0.72448,4.97811
62.286,-3.11592,8.33666,-0.80896,5.22074
62.297,-3.14437,8.60776,-0.89344,5.46338
62.307,-3.17024,8.8542,-0.97024,5.68396
62.318,-3.1987,9.1253,-1.05472,5.9266
62.328,-3.22457,9.37175,-1.13152,6.14718
62.339,-3.25302,9.64284,-1.216,6.38982
62.35,-3.28148,9.91394,-1.30048,6.63246
62.361,-3.30993,10.185,-1.38496,6.8751
62.371,-3.3358,10.4315,-1.46176,7.09568
62.382,-3.36426,10.7026,-1.54624,7.33832
62.392,-3.39013,10.949,-1.62304,7.5589
62.403,-3.41858,11.2201,-1.70752,7.80153
62.414,-3.44704,11.4912,-1.792,8.04417
62.425,-3.4755,11.7623,-1.87648,8.28681
62.435,-3.50136,12.0088,-1.95328,8.50739
62.446,-3.52982,12.2799,-2.03776,8.75003
62.456,-3.55569,12.5263,-2.11456,8.97061
62.467,-3.58415,12.7974,-2.19904,9.21325
62.478,-3.6126,13.0685,-2.28352,9.45589
62.489,-3.64106,13.3396,-2.368,9.69853
62.499,-3.66693,13.586,-2.4448,9.91911
62.51,-3.69538,13.8571,-2.52928,10.1617
62.52,-3.72125,14.1036,-2.60608,10.3823
62.531,-3.74971,14.3747,-2.69056,10.625
62.542,-3.77816,14.6458,-2.77504,10.8676
62.553,-3.80662,14.9169,-2.85952,11.1102
62.563,-3.83249,15.1633,-2.93632,11.3308
62.574,-3.86094,15.4344,-3.0208,11.5735
62.584,-3.88681,15.6809,-3.0976,11.794
62.595,-3.91527,15.9519,-3.18208,12.0367
62.606,-3.94372,16.223,-3.26656,12.2793
62.617,-3.97218,16.4941,-3.35104,12.522
62.627,-3.99805,16.7406,-3.42784,12.7425
62.638,-4.0265,17.0117,-3.51232,12.9852
62.648,-4.05237,17.2581,-3.58912,13.2058
62.659,-4.08083,17.5292,-3.6736,13.4484
62.67,-4.10929,17.8003,-3.75808,13.691
62.681,-4.13774,18.0714,-3.84256,13.9337
62.691,-4.16361,18.3179,-3.91936,14.1542
62.702,-4.19207,18.589,-4.00384,14.3969
62.712,-4.21794,18.8354,-4.08064,14.6175
62.723,-4.24639,19.1065,-4.16512,14.8601
62.734,-4.27485,19.3776,-4.2496,15.1027
62.745,-4.3033,19.6487,-4.33408,15.3454
62.755,-4.32917,19.8951,-4.41088,15.566
62.766,-4.35763,20.1662,-4.49536,15.8086
62.776,-4.3835,20.4127,-4.57216,16.0292
62.787,-4.41195,20.6838,-4.65664,16.2718
62.798,-4.44041,20.9549,-4.74112,16.5145
62.809,-4.46886,21.226,-4.8256,16.7571
62.823,-4.50508,21.571,-4.93312,17.0659
62.834,-4.53354,21.8421,-5.0176,17.3085
62.845,-4.56199,22.1132,-5.10208,17.5512
62.856,-4.59045,22.3843,-5.18656,17.7938
62.867,-4.6189,22.6554,-5.27104,18.0365
62.877,-4.64477,22.9018,-5.34784,18.257
62.888,-4.67323,23.1729,-5.43232,18.4997
62.898,-4.6991,23.4194,-5.50912,18.7203
62.909,-4.72755,23.6905,-5.5936,18.9629
62.92,-4.75601,23.9615,-5.67808,19.2055
62.931,-4.78447,24.2326,-5.76256,19.4482
62.941,-4.81033,24.4791,-5.83936,19.6688
62.952,-4.83879,24.7502,-5.92384,19.9114
62.962,-4.86466,24.9966,-6.00064,20.132
62.973,-4.89312,25.2677,-6.08512,20.3746
62.984,-4.92157,25.5388,-6.1696,20.6173
62.995,-4.95003,25.8099,-6.25408,20.8599
63.005,-4.9759,26.0564,-6.33088,21.0805
63.016,-4.53779,8.16038,-2.92673e-14,3.62259
63.026,-4.5174,8.13127,-2.90541e-14,3.61387
63.037,-4.49499,8.09925,-2.88196e-14,3.60427
63.048,-4.47257,8.06724,-2.85851e-14,3.59467
63.059,-4.45015,8.03522,-2.83507e-14,3.58508
63.069,-4.42977,8.00612,-2.81375e-14,3.57635
63.08,-4.40735,7.9741,-2.7903e-14,3.56675
63.09,-4.38697,7.94499,-2.76899e-14,3.55803
63.101,-4.36455,7.91298,-2.74554e-14,3.54843
63.112,-4.34213,7.88096,-2.72209e-14,3.53884
