time,pos_x,pos_y,pos_z,pos_phi
212.377,230,220,120,10
212.407,230.002,219.993,119.998,10.0002
212.437,230.006,219.979,119.993,10.0005
212.467,230.011,219.959,119.987,10.0009
212.497,230.018,219.932,119.978,10.0016
212.528,230.027,219.897,119.966,10.0024
212.558,230.038,219.856,119.953,10.0033
212.588,230.051,219.809,119.938,10.0044
212.618,230.066,219.755,119.92,10.0056
212.648,230.082,219.694,119.9,10.007
212.678,230.1,219.628,119.879,10.0085
212.708,230.12,219.554,119.855,10.0102
212.738,230.141,219.475,119.829,10.0119
212.768,230.164,219.389,119.801,10.0139
212.798,230.189,219.297,119.771,10.0159
212.828,230.215,219.197,119.739,10.0181
212.858,230.244,219.09,119.705,10.0205
212.888,230.273,218.979,119.668,10.0229
212.918,230.304,218.864,119.632,10.0254
212.948,230.337,218.738,119.591,10.0282
212.978,230.371,218.61,119.55,10.031
213.008,230.407,218.475,119.506,10.0339
213.038,230.445,218.331,119.46,10.037
213.068,230.483,218.184,119.413,10.0401
213.098,230.524,218.029,119.363,10.0435
213.129,230.567,217.862,119.31,10.047
213.159,230.61,217.697,119.258,10.0505
213.189,230.655,217.524,119.202,10.0541
213.219,230.701,217.346,119.146,10.0578
213.249,230.748,217.161,119.087,10.0617
213.279,230.798,216.968,119.025,10.0657
213.309,230.846,216.776,118.965,10.0697
213.339,230.898,216.57,118.899,10.0739
213.369,230.95,216.363,118.834,10.0781
213.399,231.003,216.151,118.767,10.0824
213.429,231.058,215.931,118.698,10.0868
213.459,231.113,215.707,118.627,10.0913
213.489,231.169,215.48,118.556,10.0959
213.519,231.227,215.243,118.482,10.1006
213.549,231.287,214.996,118.404,10.1055
213.579,231.346,214.751,118.328,10.1103
213.609,231.406,214.5,118.249,10.1152
213.639,231.468,214.24,118.168,10.1203
213.669,231.531,213.975,118.086,10.1254
213.699,231.595,213.703,118.001,10.1306
213.729,231.658,213.43,117.917,10.1358
213.76,231.725,213.138,117.826,10.1414
213.79,231.791,212.85,117.737,10.1468
213.82,231.857,212.563,117.649,10.1522
213.85,231.924,212.263,117.556,10.1578
213.88,231.991,211.962,117.464,10.1634
213.91,232.059,211.654,117.369,10.1691
213.94,232.13,211.333,117.271,10.1749
213.97,232.197,211.024,117.176,10.1806
214,232.267,210.698,117.077,10.1865
214.03,232.336,210.371,116.977,10.1923
214.06,232.407,210.034,116.875,10.1983
