time,pos_theta1,pos_theta2,pos_d3,pos_theta4
60.525,59.9901,-38.8804,-190,11.1097
60.536,59.9903,-38.8847,-189.998,11.1056
60.547,59.9906,-38.8933,-189.995,11.0973
60.557,59.9911,-38.9049,-189.991,11.0861
60.568,59.9918,-38.922,-189.985,11.0698
60.578,59.9926,-38.9412,-189.978,11.0514
60.589,59.9935,-38.9656,-189.969,11.028
60.6,59.9947,-38.9942,-189.959,11.0005
60.611,59.9959,-39.0261,-189.947,10.9698
60.621,59.9973,-39.0605,-189.935,10.9368
60.632,59.9989,-39.1012,-189.92,10.8976
60.642,60.0004,-39.1403,-189.905,10.8601
60.653,60.0023,-39.1884,-189.888,10.8139
60.664,60.0042,-39.2398,-189.869,10.7644
60.675,60.0063,-39.2941,-189.849,10.7122
60.685,60.0083,-39.3486,-189.829,10.6597
60.696,60.0107,-39.411,-189.807,10.5997
60.706,60.0129,-39.4711,-189.785,10.5418
60.717,60.0155,-39.5405,-189.759,10.475
60.728,60.0182,-39.6148,-189.732,10.4035
60.739,60.0211,-39.6942,-189.703,10.3269
60.749,60.0237,-39.7659,-189.677,10.2578
60.76,60.0267,-39.8494,-189.646,10.1773
60.77,60.0297,-39.9337,-189.615,10.096
60.781,60.0328,-40.022,-189.583,10.0108
60.792,60.036,-40.1133,-189.549,9.92269
60.803,60.0395,-40.214,-189.512,9.82549
60.813,60.0426,-40.3021,-189.48,9.74041
60.824,60.0462,-40.409,-189.44,9.63721
60.834,60.0495,-40.5049,-189.405,9.54456
60.845,60.0532,-40.6151,-189.364,9.43803
60.856,60.057,-40.7294,-189.322,9.32762
60.867,60.061,-40.8517,-189.277,9.20932
60.877,60.0644,-40.9561,-189.239,9.10833
60.888,60.0684,-41.0787,-189.193,8.98967
60.898,60.072,-41.1933,-189.151,8.87874
60.909,60.0763,-41.3266,-189.102,8.74966
60.92,60.0803,-41.4559,-189.054,8.62445
60.931,60.0846,-41.593,-189.003,8.49157
60.941,60.0885,-41.7185,-188.956,8.36994
60.952,60.0927,-41.8589,-188.904,8.23382
60.962,60.0967,-41.9902,-188.855,8.10652
60.973,60.1011,-42.1381,-188.8,7.96302
60.984,60.1055,-42.2879,-188.745,7.81761
60.995,60.1099,-42.44,-188.688,7.66991
61.005,60.1142,-42.5872,-188.633,7.52699
61.016,60.1185,-42.74,-188.576,7.37849
61.026,60.1226,-42.8863,-188.522,7.23628
61.037,60.1271,-43.0482,-188.461,7.07887
61.048,60.1317,-43.2145,-188.399,6.91722
61.059,60.1364,-43.388,-188.334,6.7484
61.069,60.1405,-43.5419,-188.277,6.59855
61.08,60.145,-43.7125,-188.213,6.43243
61.09,60.1491,-43.8739,-188.152,6.27538
61.101,60.1538,-44.0571,-188.084,6.09673
61.112,60.1583,-44.2337,-188.017,5.92462
61.123,60.1629,-44.4177,-187.948,5.74517
61.133,60.167,-44.5877,-187.884,5.57929
61.144,60.1715,-44.7758,-187.814,5.39575
61.154,60.1757,-44.9514,-187.748,5.2243
61.165,60.1803,-45.1473,-187.674,5.03299
61.176,60.1846,-45.3356,-187.603,4.84903
61.187,60.1892,-45.5418,-187.525,4.6474
61.197,60.1932,-45.7188,-187.458,4.4743
61.208,60.1976,-45.9223,-187.381,4.27531
61.218,60.2016,-46.111,-187.31,4.09057
61.229,60.2058,-46.3111,-187.234,3.8947
61.24,60.2101,-46.5241,-187.153,3.68606
61.251,60.2143,-46.7306,-187.075,3.48368
61.261,60.2181,-46.9269,-187,3.29123
61.272,60.2224,-47.1488,-186.916,3.0736
61.283,60.2262,-47.3545,-186.838,2.8718
61.294,60.2303,-47.5784,-186.752,2.65198
61.304,60.2339,-47.779,-186.676,2.45495
61.315,60.2378,-48.0019,-186.591,2.23596
61.325,60.2413,-48.2057,-186.513,2.03557
61.336,60.2451,-48.4398,-186.424,1.80536
61.347,60.2487,-48.6595,-186.34,1.5892
