time,pos_x,pos_y,pos_z,pos_phi
60.525,230.002,219.995,119.999,10
60.536,230.006,219.982,119.997,10
60.547,230.014,219.959,119.993,10
60.557,230.024,219.931,119.988,10
60.568,230.037,219.891,119.982,10
60.578,230.052,219.847,119.974,10
60.589,230.072,219.79,119.965,10
60.6,230.094,219.724,119.953,10
60.611,230.12,219.65,119.941,10
60.621,230.145,219.575,119.928,10
60.632,230.176,219.485,119.913,10
60.642,230.207,219.395,119.898,10
60.653,230.243,219.288,119.88,10
60.664,230.282,219.172,119.86,10
60.675,230.324,219.049,119.839,10
60.685,230.364,218.929,119.819,10
60.696,230.411,218.789,119.796,10
60.706,230.456,218.655,119.773,10
60.717,230.508,218.5,119.747,10
60.728,230.562,218.336,119.719,10
60.739,230.619,218.165,119.691,10
60.749,230.673,218.002,119.663,10
60.76,230.735,217.815,119.632,10
60.77,230.793,217.638,119.602,10
60.781,230.859,217.436,119.568,10
60.792,230.927,217.226,119.533,10
60.803,230.998,217.008,119.496,10
60.813,231.063,216.804,119.462,10
60.824,231.138,216.571,119.423,10
60.834,231.208,216.354,119.387,10
60.845,231.286,216.107,119.345,10
60.856,231.366,215.852,119.303,10
60.867,231.448,215.59,119.259,10
60.877,231.525,215.345,119.218,10
60.888,231.61,215.069,119.172,10
60.898,231.69,214.811,119.129,10
60.909,231.778,214.521,119.08,10
60.92,231.869,214.224,119.031,10
60.931,231.961,213.919,118.98,10
60.941,232.045,213.635,118.933,10
60.952,232.14,213.317,118.88,10
60.962,232.227,213.021,118.831,10
60.973,232.324,212.689,118.775,10
60.984,232.423,212.35,118.719,10
60.995,232.522,212.004,118.662,10
61.005,232.614,211.684,118.609,10
61.016,232.715,211.325,118.549,10
61.026,232.808,210.992,118.494,10
61.037,232.911,210.62,118.433,10
61.048,233.016,210.242,118.37,10
61.059,233.12,209.856,118.306,10
61.069,233.216,209.5,118.247,10
61.08,233.323,209.102,118.182,10
61.09,233.42,208.735,118.121,10
61.101,233.527,208.324,118.054,10
61.112,233.635,207.908,117.985,10
61.123,233.743,207.484,117.915,10
61.133,233.841,207.094,117.851,10
61.144,233.95,206.659,117.78,10
61.154,234.049,206.258,117.714,10
61.165,234.157,205.811,117.641,10
61.176,234.266,205.358,117.567,10
61.187,234.375,204.899,117.491,10
61.197,234.474,204.477,117.422,10
61.208,234.583,204.006,117.345,10
61.218,234.682,203.573,117.275,10
61.229,234.79,203.092,117.196,10
61.24,234.898,202.604,117.117,10
61.251,235.006,202.111,117.036,10
61.261,235.103,201.658,116.962,10
61.272,235.21,201.154,116.88,10
61.283,235.316,200.644,116.797,10
61.294,235.421,200.129,116.714,10
61.304,235.516,199.656,116.637,10
61.315,235.62,199.131,116.552,10
61.325,235.714,198.649,116.473,10
61.336,235.817,198.113,116.387,10
61.347,235.918,197.573,116.299,10
61.358,236.019,197.027,116.211,10
61.368,236.109,196.527,116.13,10
61.379,236.208,195.971,116.04,10
61.389,236.296,195.462,115.958,10
61.4,236.392,194.897,115.866,10
61.411,236.487,194.328,115.774,10
61.422,236.581,193.753,115.682,10
61.432,236.665,193.227,115.597,10
61.443,236.755,192.644,115.503,10
61.453,236.837,192.11,115.417,10
61.464,236.925,191.518,115.321,10
61.475,237.011,190.922,115.225,10
61.486,237.096,190.321,115.129,10
61.496,237.171,189.771,115.04,10
61.507,237.253,189.163,114.943,10
61.517,237.325,188.605,114.853,10
61.528,237.403,187.989,114.754,10
61.539,237.479,187.368,114.654,10
61.55,237.553,186.744,114.554,10
61.56,237.619,186.172,114.463,10
61.571,237.689,185.54,114.361,10
61.581,237.752,184.963,114.269,10
61.592,237.818,184.324,114.166,10
61.603,237.882,183.681,114.063,10
61.614,237.944,183.035,113.96,10
61.624,237.999,182.445,113.865,10
61.635,238.057,181.792,113.761,10
61.645,238.107,181.196,113.665,10
61.656,238.161,180.537,113.56,10
61.667,238.212,179.875,113.454,10
61.678,238.261,179.21,113.347,10
61.688,238.303,178.603,113.25,10
61.699,238.347,177.932,113.143,10
61.709,238.385,177.32,113.045,10
61.72,238.425,176.644,112.937,10
61.731,238.461,175.966,112.828,10
61.742,238.496,175.284,112.719,10
61.752,238.525,174.663,112.62,10
61.763,238.554,173.977,112.51,10
61.773,238.579,173.351,112.41,10
61.784,238.603,172.661,112.299,10
61.795,238.625,171.968,112.189,10
61.806,238.644,171.274,112.077,10
61.816,238.659,170.64,111.976,10
61.827,238.674,169.942,111.864,10
61.837,238.684,169.305,111.762,10
61.848,238.693,168.603,111.649,10
61.859,238.699,167.899,111.537,10
61.87,238.703,167.194,111.424,10
61.88,238.703,166.551,111.32,10
61.891,238.702,165.843,111.207,10
61.901,238.698,165.198,111.103,10
61.912,238.691,164.487,110.989,10
61.923,238.681,163.775,110.875,10
61.934,238.669,163.062,110.76,10
61.944,238.655,162.412,110.656,10
61.955,238.637,161.697,110.541,10
61.965,238.619,161.046,110.436,10
61.976,238.596,160.329,110.32,10
61.987,238.57,159.612,110.205,10
61.998,238.542,158.893,110.089,10
62.008,238.514,158.24,109.983,10
62.019,238.48,157.521,109.867,10
62.029,238.448,156.866,109.761,10
62.04,238.409,156.146,109.645,10
62.051,238.368,155.426,109.528,10
62.062,238.324,154.706,109.412,10
62.072,238.282,154.051,109.306,10
62.083,238.233,153.33,109.189,10
62.093,238.187,152.675,109.082,10
62.104,238.133,151.955,108.965,10
62.115,238.077,151.235,108.848,10
62.126,238.018,150.515,108.731,10
62.136,237.963,149.862,108.624,10
62.147,237.899,149.143,108.507,10
