time,pos_theta1,pos_theta2,pos_d3,pos_theta4
60.525,59.9902,-38.8825,-189.999,11.1076
60.536,59.9904,-38.8889,-189.997,11.1015
60.547,59.9909,-38.8995,-189.993,11.0914
60.557,59.9914,-38.9127,-189.988,11.0787
60.568,59.9922,-38.9313,-189.982,11.0609
60.578,59.993,-38.9517,-189.974,11.0413
60.589,59.994,-38.978,-189.965,11.016
60.6,59.9952,-39.0085,-189.953,10.9868
60.611,59.9966,-39.0429,-189.941,10.9537
60.621,59.998,-39.0776,-189.928,10.9203
60.632,59.9996,-39.1196,-189.913,10.8799
60.642,60.0012,-39.1612,-189.898,10.84
60.653,60.0031,-39.2107,-189.88,10.7924
60.664,60.0051,-39.264,-189.86,10.7411
60.675,60.0073,-39.3212,-189.839,10.6861
60.685,60.0094,-39.3765,-189.819,10.6329
60.696,60.0118,-39.4408,-189.796,10.571
60.706,60.0141,-39.5026,-189.773,10.5115
60.717,60.0167,-39.5741,-189.747,10.4426
60.728,60.0195,-39.6492,-189.719,10.3702
60.739,60.0223,-39.728,-189.691,10.2943
60.749,60.025,-39.8028,-189.663,10.2223
60.76,60.0281,-39.8884,-189.632,10.1397
60.77,60.031,-39.9693,-189.602,10.0616
60.781,60.0342,-40.0617,-189.568,9.97252
60.792,60.0375,-40.1575,-189.533,9.88001
60.803,60.041,-40.2568,-189.496,9.78415
60.813,60.0442,-40.3501,-189.462,9.69412
60.824,60.0478,-40.4558,-189.423,9.59194
60.834,60.0511,-40.5549,-189.387,9.4962
60.845,60.0549,-40.6671,-189.345,9.3878
60.856,60.0587,-40.7825,-189.303,9.27618
60.867,60.0626,-40.9012,-189.259,9.16138
60.877,60.0662,-41.0119,-189.218,9.05428
60.888,60.0702,-41.1367,-189.172,8.93348
60.898,60.0739,-41.2529,-189.129,8.82097
60.909,60.078,-41.3838,-189.08,8.69427
60.92,60.0822,-41.5177,-189.031,8.56454
60.931,60.0865,-41.6547,-188.98,8.43179
60.941,60.0903,-41.7818,-188.933,8.30852
60.952,60.0947,-41.9246,-188.88,8.17009
60.962,60.0986,-42.0569,-188.831,8.04171
60.973,60.103,-42.2053,-188.775,7.89772
60.984,60.1075,-42.3566,-188.719,7.75086
60.995,60.1119,-42.5108,-188.662,7.60115
61.005,60.116,-42.6534,-188.609,7.46262
61.016,60.1205,-42.813,-188.549,7.30756
61.026,60.1246,-42.9604,-188.494,7.16421
61.037,60.1292,-43.1253,-188.433,7.00392
61.048,60.1337,-43.2928,-188.37,6.84093
61.059,60.1383,-43.463,-188.306,6.67526
61.069,60.1425,-43.6201,-188.247,6.52236
61.08,60.1471,-43.7954,-188.182,6.35168
61.09,60.1512,-43.957,-188.121,6.19426
61.101,60.1558,-44.1371,-188.054,6.01866
61.112,60.1604,-44.3198,-187.985,5.84053
61.123,60.1649,-44.505,-187.915,5.6599
61.133,60.1691,-44.6755,-187.851,5.49354
61.144,60.1736,-44.8654,-187.78,5.30821
61.154,60.1777,-45.0401,-187.714,5.13764
61.165,60.1822,-45.2345,-187.641,4.94772
61.176,60.1867,-45.4312,-187.567,4.75545
61.187,60.1911,-45.6303,-187.491,4.56084
61.197,60.1951,-45.8132,-187.422,4.38193
61.208,60.1995,-46.0166,-187.345,4.18295
61.218,60.2034,-46.2033,-187.275,4.00012
61.229,60.2077,-46.4109,-187.196,3.79688
61.24,60.212,-46.6205,-187.117,3.59146
61.251,60.2162,-46.8323,-187.036,3.38387
61.261,60.22,-47.0267,-186.962,3.19331
61.272,60.2241,-47.2424,-186.88,2.98168
61.283,60.2281,-47.4601,-186.797,2.76798
61.294,60.2321,-47.6798,-186.714,2.55223
61.304,60.2356,-47.8813,-186.637,2.35435
61.315,60.2395,-48.1047,-186.552,2.13477
61.325,60.2429,-48.3094,-186.473,1.93346
61.336,60.2466,-48.5364,-186.387,1.71018
61.347,60.2502,-48.7652,-186.299,1.48499
61.358,60.2537,-48.9958,-186.211,1.25792
61.368,60.2569,-49.207,-186.13,1.0499
61.379,60.2603,-49.4409,-186.04,0.819333
61.389,60.2632,-49.6551,-185.957,0.608178
61.4,60.2664,-49.8922,-185.866,0.374225
61.411,60.2695,-50.131,-185.774,0.13854
61.422,60.2725,-50.3714,-185.682,-0.0988496
61.432,60.2751,-50.5912,-185.597,-0.316112
61.443,60.2779,-50.8346,-185.503,-0.556672
61.453,60.2803,-51.0571,-185.417,-0.776768
61.464,60.2829,-51.3033,-185.321,-1.02039
61.475,60.2853,-51.5509,-185.225,-1.26558
61.486,60.2876,-51.7999,-185.129,-1.5123
61.496,60.2896,-52.0275,-185.04,-1.73789
61.507,60.2917,-52.2792,-184.943,-1.98746
61.517,60.2935,-52.5091,-184.853,-2.21559
61.528,60.2953,-52.7632,-184.754,-2.46789
61.539,60.297,-53.0186,-184.654,-2.72159
61.55,60.2985,-53.2751,-184.554,-2.97664
61.56,60.2998,-53.5094,-184.463,-3.20967
61.571,60.301,-53.7683,-184.361,-3.46724
61.581,60.302,-54.0045,-184.269,-3.70251
61.592,60.303,-54.2655,-184.166,-3.96249
61.603,60.3038,-54.5275,-184.063,-4.2237
61.614,60.3044,-54.7905,-183.96,-4.4861
61.624,60.3048,-55.0305,-183.865,-4.72565
61.635,60.3051,-55.2954,-183.761,-4.99024
61.645,60.3053,-55.537,-183.665,-5.23174
61.656,60.3052,-55.8037,-183.56,-5.49841
61.667,60.305,-56.0712,-183.454,-5.76614
61.678,60.3047,-56.3395,-183.347,-6.03489
61.688,60.3041,-56.5842,-183.25,-6.28006
61.699,60.3034,-56.8541,-183.143,-6.55067
61.709,60.3025,-57.1,-183.045,-6.7975
61.72,60.3014,-57.3713,-182.937,-7.06987
61.731,60.3001,-57.6432,-182.828,-7.34312
61.742,60.2986,-57.9158,-182.719,-7.61722
61.752,60.297,-58.1641,-182.62,-7.86712
61.763,60.2951,-58.4379,-182.51,-8.14276
61.773,60.2932,-58.6872,-182.41,-8.394
61.784,60.2908,-58.9619,-182.299,-8.67108
61.795,60.2883,-59.2372,-182.189,-8.94886
61.806,60.2855,-59.5128,-182.077,-9.22732
61.816,60.2828,-59.7638,-181.976,-9.48103
61.827,60.2796,-60.0403,-181.864,-9.76071
61.837,60.2765,-60.292,-181.762,-10.0155
61.848,60.2728,-60.5691,-181.649,-10.2963
61.859,60.2689,-60.8465,-181.537,-10.5776
61.87,60.2648,-61.1242,-181.424,-10.8594
61.88,60.2608,-61.3768,-181.32,-11.116
61.891,60.2562,-61.6549,-181.207,-11.3987
61.901,60.2518,-61.9079,-181.103,-11.6561
61.912,60.2467,-62.1863,-180.989,-11.9396
61.923,60.2413,-62.4648,-180.875,-12.2235
61.934,60.2357,-62.7434,-180.76,-12.5077
61.944,60.2303,-62.9967,-180.656,-12.7663
61.955,60.2242,-63.2753,-180.541,-13.0511
61.965,60.2184,-63.5286,-180.436,-13.3102
61.976,60.2117,-63.8071,-180.32,-13.5954
61.987,60.2048,-64.0856,-180.205,-13.8808
61.998,60.1975,-64.364,-180.089,-14.1664
62.008,60.1907,-64.6169,-179.983,-14.4261
62.019,60.183,-64.8949,-179.867,-14.712
62.029,60.1756,-65.1475,-179.761,-14.9719
62.04,60.1673,-65.4251,-179.645,-15.2578
62.051,60.1587,-65.7024,-179.528,-15.5438
62.062,60.1497,-65.9795,-179.412,-15.8297
62.072,60.1413,-66.231,-179.306,-16.0897
62.083,60.1318,-66.5073,-179.189,-16.3756
62.093,60.1228,-66.7582,-179.082,-16.6354
62.104,60.1127,-67.0338,-178.965,-16.9211
62.115,60.1023,-67.3088,-178.848,-17.2066
62.126,60.0915,-67.5834,-178.731,-17.4919
62.136,60.0814,-67.8326,-178.624,-17.7512
62.147,60.07,-68.1061,-178.507,-18.0361
62.158,60.0583,-68.3791,-178.39,-18.3208
62.169,60.0462,-68.6514,-178.273,-18.6052
62.179,60.0349,-68.8984,-178.166,-18.8635
62.19,60.0222,-69.1694,-178.049,-19.1472
62.2,60.0103,-69.4151,-177.942,-19.4048
62.211,59.9969,-69.6848,-177.825,-19.6879
62.222,59.9832,-69.9536,-177.707,-19.9704
62.233,59.9691,-70.2216,-177.59,-20.2526
62.243,59.9559,-70.4645,-177.484,-20.5086
62.254,59.9411,-70.7309,-177.366,-20.7898
62.264,59.9274,-70.9723,-177.26,-21.0449
62.275,59.9119,-71.2369,-177.143,-21.325
62.286,59.896,-71.5005,-177.026,-21.6045
62.297,59.8797,-71.7631,-176.909,-21.8833
62.307,59.8646,-72.0009,-176.803,-22.1363
62.318,59.8477,-72.2615,-176.687,-22.4138
62.328,59.8319,-72.4974,-176.581,-22.6655
62.339,59.8142,-72.7559,-176.464,-22.9417
62.35,59.7961,-73.0132,-176.348,-23.2171
62.361,59.7775,-73.2693,-176.232,-23.4917
62.371,59.7604,-73.501,-176.127,-23.7406
62.382,59.7411,-73.7547,-176.011,-24.0136
62.392,59.7232,-73.9842,-175.906,-24.261
62.403,59.7032,-74.2354,-175.791,-24.5323
62.414,59.6827,-74.4853,-175.676,-24.8026
62.425,59.6618,-74.7337,-175.561,-25.072
62.435,59.6424,-74.9584,-175.456,-25.3159
62.446,59.6207,-75.2041,-175.342,-25.5834
62.456,59.6007,-75.4262,-175.238,-25.8255
62.467,59.5781,-75.669,-175.124,-26.0909
62.478,59.5552,-75.9103,-175.01,-26.3551
62.489,59.5318,-76.15,-174.897,-26.6182
62.499,59.5102,-76.3666,-174.794,-26.8564
62.51,59.4859,-76.6032,-174.681,-27.1172
62.52,59.4635,-76.8168,-174.579,-27.3533
62.531,59.4384,-77.0502,-174.466,-27.6118
62.542,59.4129,-77.2818,-174.354,-27.8689
62.553,59.3869,-77.5117,-174.243,-28.1248
62.563,59.3629,-77.7191,-174.141,-28.3562
62.574,59.336,-77.9455,-174.03,-28.6095
62.584,59.3112,-78.1497,-173.93,-28.8385
62.595,59.2834,-78.3725,-173.82,-29.0891
62.606,59.2551,-78.5934,-173.71,-29.3382
62.617,59.2264,-78.8123,-173.6,-29.5859
62.627,59.1999,-79.0095,-173.501,-29.8097
62.638,59.1702,-79.2246,-173.392,-30.0544
62.648,59.1429,-79.4183,-173.294,-30.2755
62.659,59.1123,-79.6295,-173.186,-30.5172
62.67,59.0812,-79.8384,-173.079,-30.7572
62.681,59.0496,-80.0453,-172.972,-30.9956
62.691,59.0205,-80.2314,-172.875,-31.2109
62.702,58.988,-80.434,-172.769,-31.4461
62.712,58.958,-80.6163,-172.673,-31.6583
62.723,58.9245,-80.8146,-172.567,-31.8901
62.734,58.8905,-81.0106,-172.463,-32.1201
62.745,58.8559,-81.2043,-172.359,-32.3483
62.755,58.8241,-81.3782,-172.264,-32.5542
62.766,58.7886,-81.5673,-172.161,-32.7788
62.776,58.7558,-81.7371,-172.068,-32.9813
62.787,58.7193,-81.9215,-171.966,-33.2022
62.798,58.6822,-82.1034,-171.864,-33.4212
62.809,58.6446,-82.2828,-171.763,-33.6382
62.823,58.5959,-82.5073,-171.636,-33.9114
62.834,58.5571,-82.6808,-171.536,-34.1237
62.845,58.5177,-82.8516,-171.437,-34.3339
62.856,58.4778,-83.0198,-171.339,-34.542
62.867,58.4373,-83.1852,-171.241,-34.7479
62.877,58.4,-83.3333,-171.153,-34.9333
62.888,58.3584,-83.4934,-171.056,-35.135
62.898,58.3201,-83.6366,-170.969,-35.3165
62.909,58.2775,-83.7914,-170.874,-35.514
62.92,58.2343,-83.9434,-170.779,-35.7091
62.931,58.1905,-84.0924,-170.685,-35.902
62.941,58.1501,-84.2254,-170.601,-36.0752
62.952,58.1052,-84.3688,-170.508,-36.2635
62.962,58.0639,-84.4965,-170.424,-36.4326
62.973,58.0179,-84.6342,-170.333,-36.6163
62.984,57.9713,-84.7688,-170.243,-36.7976
62.995,57.924,-84.9003,-170.153,-36.9763
63.005,57.8806,-85.0172,-170.072,-37.1366
63.016,57.8322,-85.1428,-169.984,-37.3105
63.026,57.7878,-85.2554,-169.904,-37.4676
63.037,57.7384,-85.3783,-169.816,-37.64
63.048,57.6884,-85.5003,-169.728,-37.8119
63.059,57.6379,-85.6213,-169.64,-37.9834
63.069,57.5915,-85.7305,-169.56,-38.139
63.08,57.54,-85.8496,-169.472,-38.3096
63.09,57.4927,-85.9571,-169.392,-38.4644
63.101,57.4401,-86.0744,-169.304,-38.6343
63.112,57.387,-86.1907,-169.216,-38.8037
63.123,57.3334,-86.3061,-169.128,-38.9727
63.133,57.2842,-86.4102,-169.048,-39.126
63.144,57.2296,-86.5238,-168.96,-39.2942
63.154,57.1796,-86.6262,-168.88,-39.4467
63.165,57.124,-86.738,-168.792,-39.6141
63.176,57.0679,-86.8489,-168.704,-39.781
63.187,57.0113,-86.9588,-168.616,-39.9475
63.197,56.9594,-87.0579,-168.536,-40.0986
63.208,56.9018,-87.1661,-168.448,-40.2643
63.218,56.849,-87.2636,-168.368,-40.4146
63.229,56.7905,-87.37,-168.28,-40.5795
63.24,56.7315,-87.4755,-168.192,-40.744
63.251,56.6719,-87.5801,-168.104,-40.9081
63.261,56.6174,-87.6744,-168.024,-41.057
63.272,56.557,-87.7772,-167.936,-41.2203
63.283,56.496,-87.8792,-167.848,-41.3832
63.294,56.4346,-87.9803,-167.76,-41.5457
63.304,56.3783,-88.0714,-167.68,-41.693
63.315,56.316,-88.1707,-167.592,-41.8547
63.325,56.2589,-88.2603,-167.512,-42.0014
63.336,56.1957,-88.358,-167.424,-42.1623
63.347,56.132,-88.4548,-167.336,-42.3229
63.358,56.0678,-88.5508,-167.248,-42.483
63.368,56.009,-88.6373,-167.168,-42.6282
63.379,55.944,-88.7315,-167.08,-42.7876
63.389,55.8844,-88.8165,-167,-42.9321
63.4,55.8185,-88.9092,-166.912,-43.0907
63.411,55.7521,-89.001,-166.824,-43.2489
63.422,55.6852,-89.0919,-166.736,-43.4067
63.432,55.6241,-89.1739,-166.656,-43.5498
63.443,55.5564,-89.2633,-166.568,-43.7069
63.453,55.4945,-89.3437,-166.488,-43.8493
63.465,55.4197,-89.4394,-166.392,-44.0198
63.476,55.3506,-89.5263,-166.304,-44.1757
63.487,55.2812,-89.6123,-166.216,-44.3311
63.498,55.2113,-89.6975,-166.128,-44.4862
63.508,55.1474,-89.7743,-166.048,-44.6269
63.519,55.0767,-89.8579,-165.96,-44.7812
63.529,55.012,-89.9332,-165.88,-44.9212
63.54,54.9405,-90.0153,-165.792,-45.0749
63.551,54.8686,-90.0966,-165.704,-45.2281
63.562,54.7962,-90.1771,-165.616,-45.381
63.572,54.7301,-90.2496,-165.536,-45.5196
63.583,54.6569,-90.3286,-165.448,-45.6717
63.593,54.5901,-90.3997,-165.368,-45.8097
63.604,54.5161,-90.4772,-165.28,-45.9611
63.615,54.4418,-90.5539,-165.192,-46.1121
63.626,54.3671,-90.6299,-165.104,-46.2628
63.636,54.2988,-90.6982,-165.024,-46.3994
63.647,54.2233,-90.7727,-164.936,-46.5494
63.658,54.1474,-90.8464,-164.848,-46.6989
63.669,54.0711,-90.9193,-164.76,-46.8481
63.679,54.0015,-90.9849,-164.68,-46.9835
63.69,53.9245,-91.0564,-164.592,-47.132
63.7,53.8541,-91.1208,-164.512,-47.2666
63.711,53.7764,-91.1908,-164.424,-47.4144
63.722,53.6983,-91.2601,-164.336,-47.5619
63.733,53.6198,-91.3287,-164.248,-47.7089
63.743,53.5481,-91.3904,-164.168,-47.8423
63.754,53.4689,-91.4576,-164.08,-47.9887
63.764,53.3966,-91.518,-164,-48.1215
63.775,53.3167,-91.5838,-163.912,-48.2672
63.786,53.2364,-91.6489,-163.824,-48.4125
63.797,53.1558,-91.7132,-163.736,-48.5575
63.807,53.0822,-91.7711,-163.656,-48.689
63.818,53.0009,-91.8341,-163.568,-48.8333
63.828,52.9267,-91.8908,-163.488,-48.9641
63.839,52.8447,-91.9524,-163.4,-49.1077
63.85,52.7624,-92.0134,-163.312,-49.251
63.861,52.6797,-92.0737,-163.224,-49.3939
63.871,52.6043,-92.1279,-163.144,-49.5236
63.882,52.521,-92.1868,-163.056,-49.6658
63.892,52.445,-92.2398,-162.976,-49.7948
63.903,52.361,-92.2975,-162.888,-49.9364
63.914,52.2768,-92.3544,-162.8,-50.0777
63.925,52.1921,-92.4107,-162.712,-50.2186
63.935,52.115,-92.4614,-162.632,-50.3464
63.946,52.0297,-92.5164,-162.544,-50.4867
63.956,51.952,-92.5659,-162.464,-50.6139
63.967,51.8662,-92.6196,-162.376,-50.7535
63.978,51.78,-92.6728,-162.288,-50.8927
63.989,51.6936,-92.7252,-162.2,-51.0317
63.999,51.6147,-92.7724,-162.12,-51.1577
64.01,51.5277,-92.8236,-162.032,-51.296
64.021,51.4403,-92.8742,-161.944,-51.4339
64.031,51.3607,-92.9197,-161.864,-51.5591
64.042,51.2727,-92.9691,-161.776,-51.6964
64.052,51.1926,-93.0135,-161.696,-51.8209
64.063,51.1041,-93.0617,-161.608,-51.9576
64.074,51.0153,-93.1093,-161.52,-52.094
64.084,50.9344,-93.152,-161.44,-52.2177
64.095,50.845,-93.1985,-161.352,-52.3534
64.105,50.7636,-93.2401,-161.272,-52.4766
64.116,50.6737,-93.2854,-161.184,-52.6117
64.126,50.5918,-93.326,-161.104,-52.7342
64.137,50.5014,-93.3702,-161.016,-52.8688
64.147,50.419,-93.4098,-160.936,-52.9908
64.158,50.3281,-93.4528,-160.848,-53.1247
64.168,50.2452,-93.4914,-160.768,-53.2461
64.179,50.1538,-93.5332,-160.68,-53.3794
