time,vel_theta1,vel_theta2,vel_d3,vel_theta4
212.377,0.0118131,-0.118745,0.0744107,-0.112233
212.407,0.0234559,-0.236651,0.148309,-0.223734
212.437,0.0349284,-0.35372,0.221696,-0.334504
212.467,0.0462306,-0.46995,0.294571,-0.444541
212.497,0.0573625,-0.585343,0.366933,-0.553847
212.528,0.0686867,-0.703701,0.44117,-0.666027
212.558,0.0794723,-0.817389,0.512492,-0.773845
212.588,0.0900877,-0.930239,0.583301,-0.880931
212.618,0.100533,-1.04225,0.653599,-0.987285
212.648,0.110808,-1.15343,0.723385,-1.09291
212.678,0.120912,-1.26376,0.792658,-1.1978
212.708,0.130846,-1.37326,0.86142,-1.30196
212.738,0.14061,-1.48192,0.929669,-1.40538
212.768,0.150204,-1.58974,0.997407,-1.50808
212.798,0.159628,-1.69672,1.06463,-1.61004
212.828,0.168881,-1.80287,1.13135,-1.71127
212.858,0.177964,-1.90818,1.19755,-1.81177
212.888,0.186876,-2.01265,1.26324,-1.91154
212.918,0.195618,-2.11628,1.32842,-2.01058
212.948,0.20419,-2.21907,1.39308,-2.10888
212.978,0.212592,-2.32102,1.45723,-2.20645
213.008,0.220823,-2.42214,1.52088,-2.30329
213.038,0.228884,-2.52242,1.58401,-2.3994
213.068,0.236775,-2.62186,1.64662,-2.49478
213.098,0.244496,-2.72046,1.70873,-2.58942
213.129,0.252295,-2.82147,1.77237,-2.68646
213.159,0.259669,-2.91837,1.83343,-2.77961
213.189,0.266873,-3.01443,1.89398,-2.87204
213.219,0.273907,-3.10965,1.95402,-2.96373
213.249,0.28077,-3.20404,2.01355,-3.05469
213.279,0.287463,-3.29758,2.07257,-3.14492
213.309,0.293986,-3.39029,2.13107,-3.23442
213.339,0.300339,-3.48216,2.18907,-3.32319
213.369,0.306521,-3.57319,2.24655,-3.41122
213.399,0.312533,-3.66339,2.30352,-3.49852
213.429,0.318375,-3.75274,2.35997,-3.5851
213.459,0.324046,-3.84126,2.41592,-3.67093
213.489,0.329547,-3.92894,2.47135,-3.75604
213.519,0.334878,-4.01578,2.52627,-3.84042
213.549,0.340039,-4.10178,2.58068,-3.92406
213.579,0.345029,-4.18695,2.63457,-4.00697
213.609,0.349849,-4.27127,2.68796,-4.08915
213.639,0.354499,-4.35476,2.74083,-4.1706
213.669,0.358978,-4.43741,2.79319,-4.25132
213.699,0.363288,-4.51923,2.84504,-4.3313
213.729,0.367426,-4.6002,2.89638,-4.41055
213.76,0.371524,-4.68299,2.94889,-4.49168
213.79,0.375317,-4.76226,2.99918,-4.56944
213.82,0.378939,-4.8407,3.04897,-4.64648
213.85,0.382391,-4.91829,3.09824,-4.72278
213.88,0.385673,-4.99505,3.147,-4.79835
213.91,0.388785,-5.07096,3.19524,-4.87319
213.94,0.391726,-5.14604,3.24298,-4.94729
213.97,0.394497,-5.22029,3.2902,-5.02066
214,0.397097,-5.29369,3.33691,-5.09331
214.03,0.399528,-5.36626,3.38311,-5.16522
214.06,0.401788,-5.43798,3.4288,-5.2364
214.09,0.403877,-5.50887,3.47398,-5.30684
214.12,0.405797,-5.57892,3.51864,-5.37656
214.15,0.407546,-5.64814,3.56279,-5.44554
214.18,0.409125,-5.71651,3.60643,-5.51379
214.21,0.410533,-5.78405,3.64956,-5.58131
214.24,0.411772,-5.85075,3.69217,-5.6481
214.27,0.41284,-5.91661,3.73428,-5.71415
214.3,0.413738,-5.98163,3.77587,-5.77948
214.33,0.414465,-6.04582,3.81695,-5.84407
214.36,0.415022,-6.10916,3.85752,-5.90793
214.391,0.415419,-6.17374,3.8989,-5.97315
214.421,0.41563,-6.23538,3.93842,-6.03552
214.451,0.415671,-6.29619,3.97744,-6.09716
214.481,0.415541,-6.35615,4.01594,-6.15807
214.511,0.415241,-6.41528,4.05393,-6.21825
214.541,0.414771,-6.47357,4.09141,-6.27769
214.571,0.41413,-6.53102,4.12838,-6.33641
